CustomerProductChargeID,CustomerID,AccountNumber,BillingReferenceID,ProductID,DefaultProductDescription,ChargeInstanceDescription,ChargeQuantity,ProductChargeFrequencyID,UnitCostToGCI,UnitChargeToCustomer,ChargeTaxTypeFlag,ChargeStartDate,ChargeEndDate,ChargeBilledUntil,AllowCreditBackFlag,CustomerCustomReference,ChargeInstanceCreateDate,ChargeInstanceCreateUser
596931,234209,DOUBLEED,1684748,5488,TempProductDuringCleanUp,1Gb Point to Point Install,1,0,3250.00,2650.00,1,2016-09-01 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-20 09:39:07.660,GCICOM\Ksouthall
596933,234209,DOUBLEED,1684749,5488,TempProductDuringCleanUp,100 100Mb National Ethernet Install,1,0,1950.00,2050.00,1,2016-09-14 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-20 09:39:08.140,GCICOM\Ksouthall
602344,234209,DOUBLEED,1702000,5488,TempProductDuringCleanUp,1MB Assured ADSL Install,1,0,0.00,40.00,1,2016-09-01 00:00:00.000,NULL,2016-12-07 00:00:00.000,1,,2016-11-28 15:13:09.007,GCICOM\Ksouthall
596935,234209,DOUBLEED,1684750,5488,TempProductDuringCleanUp,100Mb MPLS Install,1,0,1900.00,1950.00,1,2016-09-28 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-20 09:39:08.620,GCICOM\Ksouthall
596949,234209,DOUBLEED,1684754,5488,TempProductDuringCleanUp,B-end Shift of 9157,1,0,1950.00,3737.50,1,2016-09-12 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-20 09:44:25.073,GCICOM\Ksouthall
596547,234209,DOUBLEED,1684068,5488,TempProductDuringCleanUp,AIR-CAP3602I-E-K9 Hardware,12,0,529.77,720.00,1,2016-09-30 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-11 16:01:49.577,CORP\louise.aldred
596548,234209,DOUBLEED,1684068,5488,TempProductDuringCleanUp,AIR-CT2504-15-K9 Hardware,1,0,1254.38,1780.00,1,2016-09-30 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-11 16:01:50.283,CORP\louise.aldred
596549,234209,DOUBLEED,1684068,5488,TempProductDuringCleanUp,Network Specialist,1,0,468.75,937.50,1,2016-09-30 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-11 16:01:50.647,CORP\louise.aldred
596550,234209,DOUBLEED,1684068,5488,TempProductDuringCleanUp,Provisioning and Field Engineer,1,0,93.75,187.50,1,2016-09-30 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-11 16:01:50.780,CORP\louise.aldred
596551,234209,DOUBLEED,1684068,5488,TempProductDuringCleanUp,1 - 4 Hours Basic Controller Training,1,0,187.50,375.00,1,2016-09-30 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-11 16:01:50.910,CORP\louise.aldred
601510,234209,DOUBLEED,1700398,5488,TempProductDuringCleanUp,10mb National Ethernet Oneoff,1,0,0.00,50.00,1,2016-11-01 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-11-09 14:59:10.190,CORP\louise.aldred
612470,234217,FITFORSP,1721640,5488,TempProductDuringCleanUp,Cabling Site Survey for 11160262,1,0,125.00,250.00,1,2016-12-23 00:00:00.000,NULL,2017-03-07 00:00:00.000,1,,2017-02-20 11:41:58.427,CORP\louise.aldred
606036,234279,SAPHIRE,1686006,5488,TempProductDuringCleanUp,100mb Upgrade Install,1,0,250.00,250.00,1,2016-12-07 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-15 14:20:18.200,GCICOM\bmanager
606037,234279,SAPHIRE,1686007,5488,TempProductDuringCleanUp,100mb Upgrade Install,1,0,250.00,250.00,1,2016-12-07 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-15 14:20:18.420,GCICOM\bmanager
597309,234279,SAPHIRE,1660899,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrade Fee,1,0,200.00,250.00,1,2016-07-28 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:36:32.473,GCICOM\astanton
611904,234236,INTRALAN,1708961,5488,TempProductDuringCleanUp,100Mb National Ethernet,1,0,250.00,250.00,1,2017-01-19 00:00:00.000,NULL,2017-03-07 00:00:00.000,1,,2017-02-10 14:05:41.033,GCICOM\Ksouthall
618102,234280,SAROVA,1725765,5488,TempProductDuringCleanUp,Fusion Managed huawei  AR169 Router Install,1,0,120.00,300.00,1,2017-03-15 00:00:00.000,NULL,NULL,1,,2017-03-21 12:42:45.430,CORP\louise.aldred
618104,234280,SAROVA,1725765,5488,TempProductDuringCleanUp,Fusion Managed Huawei S5700 LI Switch Install,1,0,475.00,500.00,1,2017-03-15 00:00:00.000,NULL,NULL,1,,2017-03-21 12:42:45.980,CORP\louise.aldred
609433,234252,MATORTHO,1660797,5489,TempProductDuringCleanUp,Overcharge of Rental Refund,1,0,20.87,-20.87,1,2016-09-26 00:00:00.000,NULL,2017-02-07 00:00:00.000,1,NULL,2017-01-27 09:30:35.420,CORP\louise.aldred
609434,234252,MATORTHO,1660799,5489,TempProductDuringCleanUp,Overcharge of Rental Refund,1,0,20.87,-20.87,1,2016-09-26 00:00:00.000,NULL,2017-02-07 00:00:00.000,1,NULL,2017-01-27 09:31:55.683,CORP\louise.aldred
