NumberRangeMapID,NumberRange,NumberRangeClassification,NumberRangeBespokeFlag,NumberRangeType,NumberRangeSource,NumberRangeStartDate,NumberRangeEndDate
513094,2341450,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513095,2341451,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513096,2341452,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513097,2341453,NIGERIA.VISAFONE,0,GCI_INTL,5,2016-08-01,NULL
513098,2341454,NIGERIA.VISAFONE,0,GCI_INTL,5,2016-08-01,NULL
513099,2341455,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513100,2341456,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513101,2341457,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513102,2341458,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513103,2341459,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513104,2341570,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513105,2341571,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513106,2341572,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513107,2341573,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513108,2341574,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513109,2341575,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513110,2341576,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513111,2341577,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513112,2341578,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513113,2341579,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513114,2341650,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513115,2341651,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513116,2341652,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513117,2341653,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513118,2341654,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513119,2341655,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513120,2341656,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513121,2341657,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513122,2341658,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513123,2341659,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513124,2341670,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513125,2341671,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513126,2341672,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513127,2341673,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513128,2341674,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513129,2341675,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513130,2341676,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513131,2341677,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513132,2341678,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513133,2341679,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513134,2341770,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513135,2341771,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513136,2341772,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513137,2341773,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513138,2341774,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513139,2341775,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513140,2341776,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513141,2341777,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513142,2341778,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513143,2341779,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513144,2341790,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513145,2341791,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513146,2341792,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513147,2341793,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513148,2341794,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513149,2341795,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513150,2341796,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513151,2341797,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513152,2341798,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513153,2341799,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513154,2341900,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513155,2341901,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513156,2341902,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513157,2341903,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513158,2341904,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513159,2341905,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513160,2341906,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513161,2341907,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513162,2341908,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513163,2341909,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513164,2341910,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
